code,descr
04.07.04.014-5,HERNIORRAFIA S/ RESSECCAO INTESTINAL (HERNIA ESTRANGULADA )
04.07.04.015-3,HERNIORRAFIA UMBILICAL VIDEOLAPAROSCOPICA
04.07.04.016-1,LAPAROTOMIA EXPLORADORA
04.07.04.017-0,LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA
04.07.04.018-8,LIBERACAO DE ADERENCIAS INTESTINAIS
04.07.04.019-6,PARACENTESE ABDOMINAL
04.07.04.020-0,PERITONIOSTOMIA C/ TELA INORGANICA
04.07.04.021-8,PNEUMOPERITONIO (POR SESSAO)
04.07.04.022-6,REPARACAO DE OUTRAS HERNIAS
04.07.04.023-4,RESSECCAO DO EPIPLOM
04.07.04.024-2,RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO)
04.07.04.025-0,TRATAMENTO CIRURGICO DE PERITONITE
04.07.04.026-9,VAGOTOMIA VIDEOLAPAROSCOPICA
04.08.01.001-0,ARTRODESE DE GRANDES ARTICULAÇÕES ESCAPULO-TORÁCICAS
04.08.01.002-9,ARTRODESE DE GRANDES ARTICULAÇÕES ESCAPULO-UMERAIS
04.08.01.003-7,ARTROPLASTIA ESCAPULO-UMERAL (NÃO CONVENCIONAL)
04.08.01.004-5,ARTROPLASTIA ESCAPULO-UMERAL PARCIAL
04.08.01.005-3,ARTROPLASTIA ESCAPULO-UMERAL TOTAL
04.08.01.006-1,ARTROPLASTIA ESCAPULO-UMERAL TOTAL - REVISÃO / RECONSTRUÇÃO
04.08.01.007-0,DESARTICULACAO DA ARTICULACAO ESCAPULO-UMERAL
04.08.01.008-8,DESARTICULACAO INTERESCAPULO-TORÁCICA
04.08.01.009-6,ESCAPULOPEXIA C/ OU S/ OSTEOTOMIA DA ESCAPULA / RESSECÇÃO BARRA OMO-CERVICAL
04.08.01.010-0,OSTECTOMIA DA CLAVÍCULA OU DA ESCÁPULA
04.08.01.011-8,OSTEOTOMIA DA CLAVÍCULA OU DA ESCÁPULA
04.08.01.012-6,REDUCAO INCRUENTA DE FRATURA E FRATURA-LUXACAO AO NIVEL DA CINTURA ESCAPULAR
04.08.01.013-4,REDUCAO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXAÇÃO ESCÁPULO-UMERAL
04.08.01.014-2,REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS)
04.08.01.015-0,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA
04.08.01.016-9,TRATAMENTO CIRURGICO DE FRATURA DO COLO E CAVIDADE GLENOIDE DE ESCAPULA
04.08.01.017-7,TRATAMENTO CIRURGICO DE FRATURA DO CORPO DE ESCAPULA
04.08.01.018-5,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR
04.08.01.019-3,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESCAPULO-UMERAL AGUDA
04.08.01.020-7,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESTERNO-CLAVICULAR
04.08.01.021-5,TRATAMENTO CIRURGICO DE LUXACAO RECIDIVANTE / HABITUAL DE ARTICULACAO ESCAPULO-UMERAL
04.08.01.022-3,TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA
04.08.01.023-1,TRATAMENTO CIRÚRGICO DA SÍNDROME DO IMPACTO SUB-ACROMIAL
04.08.02.001-6,AMPUTAÇÃO / DESARTICULAÇÃO DE MÃO E PUNHO
04.08.02.002-4,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES
04.08.02.003-2,ARTRODESE DE MÉDIAS / GRANDES ARTICULAÇÕES DE MEMBRO SUPERIOR
04.08.02.004-0,ARTROPLASTIA DE ARTICULAÇÃO DA MÃO
04.08.02.005-9,ARTROPLASTIA DE CABEÇA DO RÁDIO
04.08.02.006-7,ARTROPLASTIA DE PUNHO
04.08.02.007-5,ARTROPLASTIA TOTAL DE COTOVELO
04.08.02.008-3,ARTROPLASTIA TOTAL DE COTOVELO (REVISAO / RECONSTRUCAO)
04.08.02.009-1,RESSECÇÃO DO OLECRANO E/OU CABEÇA DO RÁDIO
04.08.02.010-5,FASCIOTOMIA DE MEMBROS SUPERIORES
04.08.02.011-3,INSTALACAO DE TRAÇÃO ESQUELÉTICA DO MEMBRO SUPERIOR
04.08.02.012-1,REALINHAMENTO DE MECANISMO EXTENSOR DOS DEDOS DA MÃO
04.08.02.013-0,RECONSTRUÇÃO CAPSULO-LIGAMENTAR DE COTOVELO PUNHO
04.08.02.014-8,RECONSTRUÇÃO DE POLIA TENDINOSA DOS DEDOS DA MÃO
04.08.02.015-6,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA DE COTOVELO
04.08.02.016-4,REDUÇAO INCRUENTA DE FRATURA / LESÃO FISARIA DO EXTREMO PROXIMAL DO ÚMERO
04.08.02.017-2,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO
04.08.02.018-0,REDUÇÃO INCRUENTA DE FRATURA / LUXAÇÃO DE MONTEGGIA OU DE GALEAZZI
04.08.02.019-9,REDUÇÃO INCRUENTA DE FRATURA DA DIÁFISE DO ÚMERO
04.08.02.020-2,REDUÇÃO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRAÇO
04.08.02.021-0,REDUÇÃO INCRUENTA DE FRATURA DOS METACARPIANOS
04.08.02.022-9,REDUÇÃO INCRUENTA DE LUXAÇÃO / FRATURA-LUXAÇÃO DO COTOVELO
04.08.02.024-5,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO
04.08.02.025-3,REIMPLANTE DO OMBRO ATÉ O TERÇO MÉDIO DO ANTEBRAÇO
04.08.02.026-1,REIMPLANTE DO TERÇO DISTAL DO ANTEBRAÇO ATÉ OS METACARPIANOS
04.08.02.027-0,REIMPLANTE OU REVASCULARIZAÇÃO AO NÍVEL DA MÃO E OUTROS DEDOS (EXCETO POLEGAR)
04.08.02.028-8,REIMPLANTE OU REVASCULARIZAÇÃO DO POLEGAR
04.08.02.029-6,REVISÃO CIRÚGICA DE COTO DE AMPUTAÇÃO DO MEMBRO SUPERIOR (EXCETO MÃO)
04.08.02.030-0,TENOSINOVECTOMIA EM MEMBRO SUPERIOR
04.08.02.031-8,TRANSPOSIÇÃO DA ULNA PARA O RÁDIO
04.08.02.032-6,TRATAMENTO CIRÚRGICO DE DEDO EM GATILHO
04.08.02.033-4,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DA EXTREMIDADE PROXIMAL DO UMERO
04.08.02.034-2,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO)
04.08.02.035-0,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DE EPI~CÔNDILO / EPITROCLEA DO ÚMERO
04.08.02.036-9,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA / CABEÇA DO RÁDIO
04.08.02.037-7,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS
04.08.02.038-5,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA SUPRACONDILIANA DO ÚMERO
04.08.02.039-3,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO
04.08.02.040-7,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO
04.08.02.041-5,TRATAMENTO CIRÚRGICO DE FRATURA DE EXTREMIDADES / METÁFISE PROXIMAL DOS OSSOS DO ANTEBRAÇO
04.08.02.042-3,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE)
04.08.02.043-1,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA
04.08.02.044-0,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO
04.08.02.045-8,TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DE GALEAZZI / MONTEGGIA / ESSEX-LOPRESTI
04.08.02.046-6,TRATAMENTO CIRÚRGICO DE FRATURAS DOS OSSOS DO CARPO
04.08.02.047-4,TRATAMENTO CIRÚRGICO DE GIGANTISMO DA MÃO
04.08.02.048-2,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO
04.08.02.049-0,TRATAMENTO CIRÚRGICO DE LESÃO DA MUSCULATURA INTRÍNSECA DA MÃO
04.08.02.050-4,TRATAMENTO CIRÚRGICO DE LESÃO EVOLUTIVA FISARIA NO MEMBRO SUPERIOR
04.08.02.051-2,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA
04.08.02.052-0,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO
04.08.02.053-9,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA
04.08.02.054-7,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO
04.08.02.055-5,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA MÃO
04.08.02.056-3,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DO ANTEBRAÇO
04.08.02.057-1,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DO ÚMERO
04.08.02.058-0,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE AO NÍVEL DO COTOVELO
04.08.02.059-8,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE NA REGIÃO METAFISE-EPIFISÁRIA DISTAL DO RÁDIO E ULNA
04.08.02.060-1,TRATAMENTO CIRÚRGICO DE PSEUDO-RETARDO / CONSOLIDAÇÃO / PERDA ÓSSEA AO ÍIVEL DO CARPO
04.08.02.061-0,TRATAMENTO CIRÚRGICO DE ROTURA / DESINSERÇÃO / ARRANCAMENTO CAPSULO-TENO-LIGAMENTAR NA MÃO
04.08.02.062-8,TRATAMENTO CIRÚRGICO DE SINDACTILIA DA MÃO (POR ESPACO INTERDIGITAL)
04.08.02.063-6,TRATAMENTO CIRÚRGICO DE SINOSTOSE RÁDIO ULNAR
04.08.02.064-4,TRATAMENTO CIRÚRGICO P/ CENTRALIZAÇÃO DO PUNHO
04.08.03.001-1,ARTRODESE CERVICAL / CERVICO TORÁCICA POSTERIOR CINCO NIVEIS
04.08.03.002-0,ARTRODESE CERVICAL / CERVICO-TORÁCICA POSTERIOR UM NIVEL
04.08.03.003-8,ARTRODESE CERVICAL / CERVICO-TORÁCICA POSTERIOR DOIS NÍVEIS
04.08.03.004-6,ARTRODESE CERVICAL / CERVICO-TORÁCICA POSTERIOR SEIS NÍVEIS
04.08.03.005-4,ARTRODESE CERVICAL / CERVICO-TORÁCICA POSTERIOR TRES NÍVEIS
04.08.03.006-2,ARTRODESE CERVICAL ANTERIOR TRÊS NIVEIS
04.08.03.007-0,ARTRODESE CERVICAL ANTERIOR DOIS NÍVEIS
04.08.03.008-9,ARTRODESE CERVICAL ANTERIOR C1-C2 VIA TRANS-ORAL / EXTRA-ORAL
04.08.03.009-7,ARTRODESE CERVICAL ANTERIOR CINCO NÍVEIS
04.08.03.010-0,ARTRODESE CERVICAL ANTERIOR QUATRO NÍVEIS
04.08.03.011-9,ARTRODESE CERVICAL ANTERIOR UM NÍVEL
04.08.03.012-7,ARTRODESE CERVICAL POSTERIOR C1-C2
04.08.03.013-5,ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL UM NÍVEL
04.08.03.014-3,ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL DOIS NÍVEIS
04.08.03.015-1,ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL QUATRO NÍVEIS
04.08.03.016-0,ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL TRES NÍVEIS
04.08.03.017-8,ARTRODESE OCCIPTO-CERVICAL (C2) POSTERIOR
04.08.03.018-6,ARTRODESE OCCIPTO-CERVICAL (C3)POSTERIOR
04.08.03.019-4,ARTRODESE OCCIPTO-CERVICAL (C4)POSTERIOR
04.08.03.020-8,ARTRODESE OCCIPTO-CERVICAL (C5) POSTERIOR
04.08.03.021-6,ARTRODESE OCCIPTO-CERVICAL (C6)POSTERIOR
04.08.03.022-4,ARTRODESE OCCIPTO-CERVICAL (C7) POSTERIOR
04.08.03.023-2,ARTRODESE TORACO-LOMBO-SACRA ANTERIOR UM NÍVEL
04.08.03.024-0,ARTRODESE TORACO-LOMBO-SACRA ANTERIOR DOIS NIVEIS
04.08.03.025-9,ARTRODESE TORACO-LOMBO-SACRA ANTERIOR, TRES NIVEIS,
04.08.03.026-7,ARTRODESE TORACO-LOMBO-SACRA POSTERIOR UM NÍVEL
04.08.03.027-5,ARTRODESE TORACO-LOMBO-SACRA POSTERIOR TRÊS NIVEIS
04.08.03.028-3,ARTRODESE TORACO-LOMBO-SACRA POSTERIOR CINCO NÍVEIS
04.08.03.029-1,ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, DOIS NÍVEIS,
04.08.03.030-5,ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, QUATRO NÍVEIS,
04.08.03.031-3,ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, SEIS NÍVEIS,
04.08.03.032-1,ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, SETE NIVEIS,
04.08.03.033-0,COSTO-TRANSVERSECTOMIA
04.08.03.034-8,COSTOPLASTIA (3 OU MAIS COSTELAS)
04.08.03.035-6,DESCOMPRESSÃO DA JUNÇÃO CRANIO-CERVICAL VIA TRANSORAL / RETROFARINGEA
04.08.03.036-4,DESCOMPRESSÃO OSSEA NA JUNÇÃO CRANIO-CERVICAL VIA POSTERIOR
04.08.03.037-2,DESCOMPRESSÃO OSSEA NA JUNÇÃO CRANIO-CERVICAL VIA POSTERIOR C/ DUROPLASTIA
04.08.03.038-0,DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (1 NÍVEL C/ MICROSCÓPIO)
04.08.03.039-9,DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (UM NÍVEL)
04.08.03.040-2,DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (DOIS NÍVEIS)
04.08.03.041-0,DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (DOIS OU MAIS NÍVEIS C/ MICROSCÓPIO)
04.08.03.042-9,DISCECTOMIA CERVICAL ANTERIOR (ATÉ 2 NÍVEIS C/ MICROSCÓPIO)
04.08.03.043-7,DISCECTOMIA CERVICAL POR VIA ANTERIOR (1 NÍVEL)
04.08.03.044-5,DISCECTOMIA CERVICAL POR VIA ANTERIOR (2 OU MAIS NÍVEIS)
04.08.03.045-3,DISCECTOMIA TORACO-LOMBO-SACRA POR VIA ANTERIOR (C/ 2 OU MAIS NÍVEIS)
04.08.03.046-1,DISCECTOMIA TORACO-LOMBO-SACRA POR VIA ANTERIOR (1 NÍVEL)
04.08.03.047-0,DRENAGEM CIRÚRGICA DO ILIOPSOAS
04.08.03.048-8,INSTALAÇÃO DE TRAÇÃO CRANIANA
04.08.03.050-0,RESSECÇÃO DE 2 OU MAIS CORPOS VERTEBRAIS CERVICAIS
04.08.03.051-8,RESSECÇÃO DE 2 OU MAIS CORPOS VERTEBRAIS TORACO-LOMBO-SACROS
04.08.03.052-6,RESSEÇÃO DE COCCIX
04.08.03.053-4,RESSECÇÃO DE ELEMENTO VERTEBRAL POSTERIOR / POSTERO-LATERAL / DISTAL A C2 (MAIS DE 2 SEGMENTOS)
04.08.03.054-2,RESSECÇÃO DE ELEMENTO VERTEBRAL POSTERIOR / POSTERO-LATERAL DISTAIL A C2 (AT 2 SEGMENTOS)
04.08.03.055-0,RESSECÇÃO DE UM CORPO VERTEBRAL CERVICAL
04.08.03.056-9,RESSECÇÃO DE UM CORPO VERTEBRAL TORACO-LOMBO-SACRO
04.08.03.057-7,RETIRADA DE CORPO ESTRANHO DA COLUNA CERVICAL POR VIA ANTERIOR
04.08.03.058-5,RETIRADA DE CORPO ESTRANHO DA COLUNA CERVICAL POR VIA POSTERIOR
04.08.03.059-3,RETIRADA DE CORPO ESTRANHO DA COLUNA TORACO-LOMBO-SACRA POR VIA ANTERIOR
04.08.03.060-7,RETIRADA DE CORPO ESTRANHO DA COLUNA TORACO-LOMBO-SACRA POR VIA POSTERIOR
04.08.03.061-5,REVISÃO DE ARTRODESE / TRATAMENTO CIRÚRGICO DE PSEUDARTOSE DA COLUNA TORACO-LOMBO-SACRA ANTERIOR
04.08.03.062-3,REVISÃO DE ARTRODESE / TRATAMENTO CIRÚRGICO DE PSEUDARTROSE DA COLUNA CERVICAL POSTERIOR
04.08.03.063-1,REVISÃO DE ARTRODESE / TRATAMENTO CIRÚRGICO DE PSEUDARTROSE DA COLUNA TORACO-LOMBO-SACRA POSTERIOR
04.08.03.064-0,REVISÃO DE ARTRODESE TRATAMENTO CIRÚRGICO DE PSEUDOARTORSE DA COLUNA CERVICAL ANTERIOR
04.08.03.065-8,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERO-POSTERIOR NOVE OU MAIS NÍVEIS
04.08.03.066-6,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR OITO NÍVEIS
04.08.03.067-4,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR QUATRO NÍVEIS
04.08.03.068-2,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR CINCO NÍVEIS
04.08.03.069-0,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR POSTERIOR ATÉ OITO NÍVEIS
04.08.03.070-4,VERTEBROPLASTIA POR DISPOSITIVO GUIADO EM UM NÍVEL
04.08.03.071-2,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR SEIS NÍVEIS
04.08.03.072-0,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR SETE NÍVEIS
04.08.03.073-9,TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR OITO NIVEIS
04.08.03.074-7,TRATAMENTO CIRURGICO DE FRATURA NIVEL C1 - C2 POR VIA ANTERIOR (OSTEOSSINTESE)
04.08.03.075-5,TRATAMENTO CIRURGICO DE TORCICOLO CONGENITO
04.08.03.076-3,TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR NOVE NIVEIS
04.08.03.077-1,TRATAMENTO CIRURGICO DESCOMPRESSIVO AO NIVEL DO DESFILADEIRO TORACICO
04.08.03.078-0,VERTEBROPLASTIA POR DISPOSITIVO GUIADO DOIS NIVEIS
04.08.03.079-8,VERTEBROPLASTIA POR DISPOSITIVO GUIADO TRES NIVEIS
04.08.03.080-1,TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR DOZE NIVEIS OU MAIS
04.08.03.081-0,TRATAMENTO CIRURGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR DEZ NIVEIS
04.08.03.082-8,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR ONZE NÍVEIS
04.08.03.083-6,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR DOIS NÍVEIS
04.08.03.084-4,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR TRÊS NÍVEIS
04.08.03.085-2,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR CINCO NÍVEIS
04.08.03.086-0,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR SEIS NÍVEIS
04.08.03.087-9,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR TRÊS NÍVEIS
04.08.03.088-7,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR QUATRO NÍVEIS
04.08.03.089-5,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR DOIS NIVEIS
04.08.03.090-9,TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR SETE NÍVEIS
04.08.03.091-7,ARTRODESE CERVICAL / CERVICO TORÁCICA POSTERIOR QUATRO NÍVEIS
04.08.04.001-7,ARTRODESE COXOFEMORAL
04.08.04.002-5,ARTRODESE DA SÍNFISE PÚBICA
04.08.04.003-3,ARTRODESE DE ARTICULAÇÕES SACROILIACAS
04.08.04.004-1,ARTROPLASTIA DE QUADRIL (NÃO CONVENCIONAL)
04.08.04.005-0,ARTROPLASTIA PARCIAL DE QUADRIL
04.08.04.006-8,ARTROPLASTIA TOTAL DE CONVERSÃO DO QUADRIL
04.08.04.007-6,ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL
04.08.04.008-4,ARTROPLASTIA TOTAL PRIMÁRIA DO QUADRIL CIMENTADA
04.08.04.009-2,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA
04.08.04.010-6,DESARTICULAÇÃO COXOFEMORAL
04.08.04.011-4,DESARTICULAÇÃO INTERÍLIO-ABDOMINAL
04.08.04.012-2,EPIFISIODESE DO TROCANTER MAIOR DO FÊMUR
04.08.04.013-0,EPIFISIODESE FEMORAL PROXIMAL IN SITU
04.08.04.014-9,OSTECTOMIA DA PELVE
04.08.04.015-7,OSTEOTOMIA DA PELVE
04.08.04.016-5,RECONSTRUÇÃO OSTEOPLASTICA DO QUADRIL
04.08.04.017-3,REDUÇÃO INCRUENTA C/ MANIPULAÇÃO DE LUXAÇÃO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICAÇÃO DE DISPOSITIVOS DE CONTENÇÃO
04.08.04.018-1,REDUÇÃO INCRUENTA DE LUXAÇÃO CONGÊNITA COXOFEMORAL
04.08.04.019-0,REDUÇÃO INCRUENTA DE LUXAÇÃO COXOFEMORAL TRAUMÁTICA / PÓS-ARTROPLASTIA
04.08.04.020-3,REDUÇÃO INCRUENTA DISJUNÇÃO / LUXAÇÃO / FRATURA / FRATURA-LUXAÇÃO AO NÍVEL DO ANEL PÉLVICO
04.08.04.021-1,RETIRADA DE ENXERTO AUTÓGENO DE ILÍACO
04.08.04.022-0,REVISÃO CIRÚRGICA DE LUXAÇÃO COXOFEMORAL CONGÊNITA
04.08.04.023-8,TRANSPOSIÇÃO / ALONGAMENTO MIOTENDINOSO DO ILIOPSOAS EM DOENÇA NEUROMUSCULAR
04.08.04.024-6,TRATAMENTO CIRÚRGICO DA AVULSÃO DE TUBEROSIDADES / ESPINHAS E CRISTA ILÍACA S/ LESÃO DO ANEL PÉLVICO
04.08.04.025-4,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO
04.08.04.026-2,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO ANTERO-POSTERIOR
04.08.04.027-0,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO DO COCCIX
04.08.04.028-9,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO COXOFEMORAL C/ FRATURA DA EPÍFISE FEMORAL
04.08.04.029-7,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO
04.08.04.030-0,TRATAMENTO CIRÚRGICO DE FRATURA DO SACRO
04.08.04.031-9,TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DA ARTICULAÇÃO COXOFEMORAL (DUPLO ACESSO)
04.08.04.032-7,TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL CONGENITA
04.08.04.033-5,TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL TRAUMATICA / POS-ARTROPLASTIA
04.08.04.034-3,TRATAMENTO CIRURGICO DE LUXACAO ESPONTANEA / PROGRESSIVA / PARALITICA DO QUADRIL
04.08.05.001-2,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
04.08.05.002-0,AMPUTACAO / DESARTICULACAO DE PE E TARSO
04.08.05.003-9,ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR
04.08.05.004-7,ARTROPLASTIA DE JOELHO (NAO CONVENCIONAL)
04.08.05.005-5,ARTROPLASTIA TOTAL DE JOELHO - REVISAO / RECONSTRUCAO
04.08.05.006-3,ARTROPLASTIA TOTAL PRIMARIA DO JOELHO
04.08.05.007-1,ARTROPLASTIA UNICOMPARTIMENTAL PRIMARIA DO JOELHO
04.08.05.008-0,FASCIOTOMIA DE MEMBROS INFERIORES
04.08.05.009-8,INSTALACAO DE TRACAO ESQUELETICA DO MEMBRO INFERIOR
04.08.05.010-1,PATELECTOMIA TOTAL OU PARCIAL
04.08.05.011-0,QUADRICEPSPLASTIA
04.08.05.012-8,REALINHAMENTO DO MECANISMO EXTENSOR DO JOELHO
04.08.05.013-6,RECONSTRUCAO DE TENDAO PATELAR / TENDAO QUADRICIPITAL
04.08.05.014-4,RECONSTRUCAO LIGAMENTAR DO TORNOZELO
04.08.05.015-2,RECONSTRUCAO LIGAMENTAR EXTRA-ARTICULAR DO JOELHO
04.08.05.016-0,RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR)
04.08.05.017-9,RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO POSTERIOR C/ OU S/ ANTERIOR)
04.08.05.019-5,REDUCAO INCRUENTA DA LUXACAO / FRATURA-LUXACAO METATARSO-FALANGIANA / INTERFALANGIANA DO PE
04.08.05.020-9,REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA DOS METATARSIANOS
04.08.05.021-7,REDUCAO INCRUENTA DE FRATURA / LUXACAO / FRATURA-LUXACAO DO TORNOZELO
04.08.05.022-5,REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA
04.08.05.023-3,REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA PROXIMAL DO FEMUR
04.08.05.024-1,REDUCAO INCRUENTA DE FRATURA DOS OSSOS DO TARSO
04.08.05.025-0,REDUCAO INCRUENTA DE FRATURA OU LESAO FISARIA DO JOELHO
04.08.05.026-8,REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO JOELHO
04.08.05.027-6,REDUCAO INCRUENTA DE LUXACAO FEMURO-PATELAR
